VIDEO,TIME BIN #,ANIMAL,BODY-PART,MEASUREMENT,VALUE
Together_1,102,Animal_1,Nose_1,Velocity (cm/s),6.014
Together_1,103,Animal_1,Nose_1,Movement (cm),12.0218
Together_1,103,Animal_1,Nose_1,Velocity (cm/s),24.0436
Together_1,104,Animal_1,Nose_1,Movement (cm),15.5709
Together_1,104,Animal_1,Nose_1,Velocity (cm/s),31.1418
Together_1,105,Animal_1,Nose_1,Movement (cm),2.3953
Together_1,105,Animal_1,Nose_1,Velocity (cm/s),4.7905
Together_1,106,Animal_1,Nose_1,Movement (cm),1.6799
Together_1,106,Animal_1,Nose_1,Velocity (cm/s),3.3597
Together_1,107,Animal_1,Nose_1,Movement (cm),0.9234
Together_1,107,Animal_1,Nose_1,Velocity (cm/s),1.8468
Together_1,108,Animal_1,Nose_1,Movement (cm),10.4915
Together_1,108,Animal_1,Nose_1,Velocity (cm/s),20.9831
Together_1,109,Animal_1,Nose_1,Movement (cm),10.4905
Together_1,109,Animal_1,Nose_1,Velocity (cm/s),20.9809
Together_1,110,Animal_1,Nose_1,Movement (cm),1.8739
Together_1,110,Animal_1,Nose_1,Velocity (cm/s),3.7478
Together_1,111,Animal_1,Nose_1,Movement (cm),7.0753
Together_1,111,Animal_1,Nose_1,Velocity (cm/s),14.1506
Together_1,112,Animal_1,Nose_1,Movement (cm),4.822
Together_1,112,Animal_1,Nose_1,Velocity (cm/s),9.644
Together_1,113,Animal_1,Nose_1,Movement (cm),2.1888
Together_1,113,Animal_1,Nose_1,Velocity (cm/s),4.3775
Together_1,114,Animal_1,Nose_1,Movement (cm),6.1189
Together_1,114,Animal_1,Nose_1,Velocity (cm/s),12.2378
Together_1,115,Animal_1,Nose_1,Movement (cm),7.3784
Together_1,115,Animal_1,Nose_1,Velocity (cm/s),17.0271
