issue_id,author,title,commenter_usernames,comment_count,unique_commenter_count,link,issue_post_date,last_comment_date
283,lxspedeza,Question about body parts,[],1,1,https://github.com/sgoldenlab/simba/issues/283,2023-08-22T08:53:23Z,
282,florianduclot,Inaccurate FPS extracted from video in Batch Process videos,[],9,1,https://github.com/sgoldenlab/simba/issues/282,2023-08-18T22:48:51Z,
281,DorianBattivelli,Customize outlier correction,[],10,1,https://github.com/sgoldenlab/simba/issues/281,2023-08-15T12:37:33Z,
280,alisabak,"""Create path plot"" tool not working",[],2,1,https://github.com/sgoldenlab/simba/issues/280,2023-08-09T14:26:26Z,
279,DorianBattivelli,ROIs H5 file convertion ,[],5,1,https://github.com/sgoldenlab/simba/issues/279,2023-08-09T13:15:33Z,
278,nsusic,Unsupervised Learning Missing In Anaconda Installation,[],5,1,https://github.com/sgoldenlab/simba/issues/278,2023-08-02T17:59:48Z,
277,ZelikowskyLab,Mice switching IDs every few frames,[],13,1,https://github.com/sgoldenlab/simba/issues/277,2023-07-27T20:03:13Z,
276,13281306705,SIMBA FEATURE NUMBER MISMATCH ERROR,[],4,1,https://github.com/sgoldenlab/simba/issues/276,2023-07-23T17:39:44Z,
275,Gfernandezv,SIMBA COMPLETE: ROI definitions saved for video: {self.file_name}  🚀,[],6,1,https://github.com/sgoldenlab/simba/issues/275,2023-07-22T17:41:47Z,
274,rfkova,I have two models and I need to combine them.... also... leads on CLI implementation?,[],59,1,https://github.com/sgoldenlab/simba/issues/274,2023-07-21T00:35:50Z,
273,briki1234,Error message while trying to train a classifier refer to the memory,[],17,1,https://github.com/sgoldenlab/simba/issues/273,2023-07-11T08:46:42Z,
272,DorianBattivelli,issue with 1 fps video processing,[],2,1,https://github.com/sgoldenlab/simba/issues/272,2023-07-03T12:34:07Z,
271,DorianBattivelli,I faile to install SimBA on MacOS Ventura 13.4.1,[],29,1,https://github.com/sgoldenlab/simba/issues/271,2023-07-03T09:34:38Z,
270,BarakMalul,Do non-classified frames affects the training model?,[],9,1,https://github.com/sgoldenlab/simba/issues/270,2023-06-26T07:43:11Z,
269,DorianBattivelli,Impossible_to_draw_ROI,[],2,1,https://github.com/sgoldenlab/simba/issues/269,2023-06-22T10:33:32Z,
268,nsusic,Existing Annotations Do Not Appear in GUI After Pseudo-Labeling or When Continuing Existing Annotations ,[],12,1,https://github.com/sgoldenlab/simba/issues/268,2023-06-20T13:54:41Z,
267,BarakMalul,Problem in training the model,[],14,1,https://github.com/sgoldenlab/simba/issues/267,2023-06-17T21:19:21Z,
266,alisabak,"""Visualise pose-estimation"" tool not working",[],5,1,https://github.com/sgoldenlab/simba/issues/266,2023-06-15T14:54:27Z,
265,sahilsingh2402,Behavioral Classifier for Flies: How to Label Data,[],4,1,https://github.com/sgoldenlab/simba/issues/265,2023-06-15T08:15:00Z,
264,BarakMalul,Files are not created.,[],14,1,https://github.com/sgoldenlab/simba/issues/264,2023-06-10T15:39:01Z,
263,bdy2530,Cannot install on Apple Silicon M1,[],16,1,https://github.com/sgoldenlab/simba/issues/263,2023-05-25T20:32:34Z,
261,DorianBattivelli,Path plots artefeacts,[],67,1,https://github.com/sgoldenlab/simba/issues/261,2023-05-18T15:02:16Z,
260,fon215,Existing model not making correct predictions on new videos,[],2,1,https://github.com/sgoldenlab/simba/issues/260,2023-05-17T18:18:28Z,
259,DorianBattivelli,Issue with polygon ROI,[],4,1,https://github.com/sgoldenlab/simba/issues/259,2023-05-14T11:11:00Z,
258,Lucas97223,Dispersion of body parts when they are hidden when training classifiers,[],0,1,https://github.com/sgoldenlab/simba/issues/258,2023-05-12T13:09:39Z,
257,Sere-98,"Using simba with 4 mice, 8 bodyparts",[],4,1,https://github.com/sgoldenlab/simba/issues/257,2023-05-10T11:31:37Z,
250,urimons,Outlier correction doesn't respond,[],8,1,https://github.com/sgoldenlab/simba/issues/250,2023-05-06T14:25:06Z,
249,DorianBattivelli,Impossible to analyse ROI with 1 FPS video,[],17,1,https://github.com/sgoldenlab/simba/issues/249,2023-05-05T11:33:24Z,
248,florianduclot,`KeyError` when training multiple models from meta files using custom weights,[],4,1,https://github.com/sgoldenlab/simba/issues/248,2023-04-29T16:03:33Z,
247,gemajpg,Can't create a simba / plotly dataset,[],0,1,https://github.com/sgoldenlab/simba/issues/247,2023-04-15T11:23:41Z,
246,gemajpg,Problem training single model (global enviroment),[],9,1,https://github.com/sgoldenlab/simba/issues/246,2023-04-08T12:46:55Z,
245,florianduclot,Dependency incompatibility in 1.55.1 in NEW conda env,[],2,1,https://github.com/sgoldenlab/simba/issues/245,2023-04-06T14:22:11Z,
244,anacastropsico,Erro: Fatal Python error: PyEval_RestoreThread: NULL tstate,[],9,1,https://github.com/sgoldenlab/simba/issues/244,2023-04-04T23:11:31Z,
