,Feature_name,Feature_importance
374,Mouse1_smallest_euclid_distances_mean_15_deviation Importance,0.0
375,Mouse1_largest_euclid_distances_mean_2_deviation Importance,0.0
376,Mouse1_largest_euclid_distances_mean_5_deviation Importance,0.0
377,Mouse1_largest_euclid_distances_mean_6_deviation Importance,0.0
378,Mouse1_largest_euclid_distances_mean_7.5_deviation Importance,0.0
379,Mouse1_largest_euclid_distances_mean_15_deviation Importance,0.0
380,Mouse1_mean_euclid_distances_mean_2_deviation Importance,0.0
381,Mouse1_mean_euclid_distances_mean_5_deviation Importance,0.0
382,Mouse1_mean_euclid_distances_mean_6_deviation Importance,0.0
383,Mouse1_mean_euclid_distances_mean_7.5_deviation Importance,0.0
384,Mouse1_mean_euclid_distances_mean_15_deviation Importance,0.0
385,Movement_mean_2_deviation Importance,0.0
386,Movement_mean_5_deviation Importance,0.0
387,Movement_mean_6_deviation Importance,0.0
388,Movement_mean_7.5_deviation Importance,0.0
389,Movement_mean_15_deviation Importance,0.0
390,Distance_mean_2_deviation Importance,0.0
391,Distance_mean_5_deviation Importance,0.0
392,Distance_mean_6_deviation Importance,0.0
393,Distance_mean_7.5_deviation Importance,0.0
394,Distance_mean_15_deviation Importance,0.0
395,Total_angle_both_mice_2_deviation Importance,0.0
396,Total_angle_both_mice_5_deviation Importance,0.0
397,Total_angle_both_mice_6_deviation Importance,0.0
398,Total_angle_both_mice_7.5_deviation Importance,0.0
399,Total_angle_both_mice_15_deviation Importance,0.0
400,Movement_percentile_rank Importance,0.0
401,Distance_percentile_rank Importance,0.0
402,Movement_mouse_1_percentile_rank Importance,0.0
403,Movement_mouse_2_percentile_rank Importance,0.0
404,Movement_mouse_1_deviation_percentile_rank Importance,0.0
405,Movement_mouse_2_deviation_percentile_rank Importance,0.0
406,Centroid_distance_percentile_rank Importance,0.0
407,Centroid_distance_deviation_percentile_rank Importance,0.0
408,Total_movement_all_bodyparts_both_mice_mean_2_percentile_rank Importance,0.0
409,Total_movement_all_bodyparts_both_mice_mean_5_percentile_rank Importance,0.0
410,Total_movement_all_bodyparts_both_mice_mean_6_percentile_rank Importance,0.0
411,Total_movement_all_bodyparts_both_mice_mean_7.5_percentile_rank Importance,0.0
412,Total_movement_all_bodyparts_both_mice_mean_15_percentile_rank Importance,0.0
413,Sum_euclid_distances_hull_mean_2_percentile_rank Importance,0.0
414,Sum_euclid_distances_hull_mean_5_percentile_rank Importance,0.0
415,Sum_euclid_distances_hull_mean_6_percentile_rank Importance,0.0
416,Sum_euclid_distances_hull_mean_7.5_percentile_rank Importance,0.0
417,Sum_euclid_distances_hull_mean_15_percentile_rank Importance,0.0
418,Mouse1_mean_euclid_distances_mean_2_percentile_rank Importance,0.0
419,Mouse1_mean_euclid_distances_mean_5_percentile_rank Importance,0.0
420,Mouse1_mean_euclid_distances_mean_6_percentile_rank Importance,0.0
421,Mouse1_mean_euclid_distances_mean_7.5_percentile_rank Importance,0.0
422,Mouse1_mean_euclid_distances_mean_15_percentile_rank Importance,0.0
423,Mouse1_smallest_euclid_distances_mean_2_percentile_rank Importance,0.0
424,Mouse1_smallest_euclid_distances_mean_5_percentile_rank Importance,0.0
425,Mouse1_smallest_euclid_distances_mean_6_percentile_rank Importance,0.0
426,Mouse1_smallest_euclid_distances_mean_7.5_percentile_rank Importance,0.0
427,Mouse1_smallest_euclid_distances_mean_15_percentile_rank Importance,0.0
428,Mouse1_largest_euclid_distances_mean_2_percentile_rank Importance,0.0
429,Mouse1_largest_euclid_distances_mean_5_percentile_rank Importance,0.0
430,Mouse1_largest_euclid_distances_mean_6_percentile_rank Importance,0.0
431,Mouse1_largest_euclid_distances_mean_7.5_percentile_rank Importance,0.0
432,Mouse1_largest_euclid_distances_mean_15_percentile_rank Importance,0.0
433,Movement_mean_5_percentile_rank Importance,0.0
434,Movement_mean_6_percentile_rank Importance,0.0
435,Movement_mean_7.5_percentile_rank Importance,0.0
436,Movement_mean_15_percentile_rank Importance,0.0
